Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Country.of.Origin
8.17,8.25,8.17,8,7.83,8.17,10,10,1
7.75,7.92,7.83,8.08,8.08,8.17,10,10,0
8,8,8,8.17,7.83,8,10,10,0
8.17,7.92,7.83,8,7.58,7.83,10,10,0
7.58,8.08,7.92,7.83,8,7.92,10,10,0
8.17,7.83,7.58,8.08,8,7.75,10,10,0
7.83,8,7.75,7.75,7.83,7.83,10,10,0
8,7.92,7.75,7.92,7.75,7.83,10,10,0
7.83,8,7.83,7.75,7.67,7.83,10,10,1
7.92,8.17,7.75,8.08,7.42,7.83,10,10,1
7.92,7.92,7.67,7.83,7.92,7.83,10,10,0
7.92,7.83,7.75,7.83,7.75,8,10,10,0
7.75,7.92,7.83,7.75,7.75,8,10,10,0
7.75,8,7.75,7.83,7.5,7.92,10,10,1
7.75,7.83,7.75,7.83,7.75,7.83,10,10,0
7.83,7.58,7.67,7.92,7.92,7.83,10,10,1
7.83,7.67,7.58,7.92,7.67,7.83,10,10,0
7.92,7.83,7.58,8,7.83,7.67,10,10,0
7.67,7.67,7.58,7.75,7.58,8.5,10,10,0
7.75,7.75,7.83,7.75,7.58,8,10,10,0
7.67,7.83,7.83,8,7.58,7.92,10,10,0
7.42,7.67,7.75,7.75,8.08,7.83,10,10,0
8.08,7.67,7.83,7.83,7.67,7.67,10,10,0
8,7.92,7.42,8.08,7.5,7.67,10,10,1
7.92,7.83,7.75,7.75,7.75,7.83,10,10,1
7.92,7.83,7.75,7.67,7.92,7.67,10,10,0
7.92,7.75,7.67,7.92,7.67,7.75,10,10,0
7.75,7.92,7.75,7.67,7.83,7.67,10,10,1
7.58,7.75,7.5,7.83,7.67,8.5,10,10,0
7.67,7.67,7.75,7.83,7.75,7.83,10,10,0
7.75,7.67,8,7.67,8.08,7.83,10,10,0
7.75,7.58,7.33,7.83,7.58,8.08,10,10,0
8,7.75,7.75,7.83,7.5,7.67,10,10,1
7.83,7.58,7.75,7.58,7.67,8,10,10,0
7.67,7.67,7.75,7.75,7.67,7.92,10,10,0
7.83,7.67,7.75,7.58,7.92,7.75,10,10,0
7.83,7.75,7.83,7.58,7.67,7.75,10,10,0
7.42,7.67,7.83,7.75,7.92,7.83,10,10,0
7.58,7.5,7.75,7.83,7.92,7.83,10,10,0
7.83,7.92,7.67,7.83,7.5,7.75,10,10,1
7.83,7.83,7.75,7.67,7.83,7.58,10,10,1
7.83,7.92,7.67,7.75,7.5,7.75,10,10,1
7.83,7.75,7.58,7.67,7.75,7.83,10,10,0
8,7.5,7.5,7.67,8,7.83,10,10,0
7.67,7.5,7.67,7.42,7.83,8.58,10,10,0
7.75,7.75,7.75,7.75,7.83,7.75,10,10,0
7.83,7.5,7.42,7.5,7.83,8.5,10,10,0
7.92,7.75,7.67,7.75,7.67,7.67,10,10,0
7.67,7.75,7.67,7.75,7.67,7.75,10,10,1
7.67,7.67,7.83,7.58,7.58,7.83,10,10,0
7.67,7.75,7.67,7.67,7.67,7.75,10,10,0
7.58,7.42,7.75,7.92,7.75,7.92,10,10,0
7.67,7.67,7.5,7.5,7.67,7.67,10,10,0
7.67,7.83,7.67,7.75,7.67,7.75,10,10,0
7.83,7.83,7.58,7.92,7.42,7.5,10,10,1
7.75,7.67,7.5,7.75,7.83,7.75,10,10,0
7.75,7.58,7.5,7.83,7.75,7.92,10,10,0
7.92,7.67,7.5,7.83,7.58,7.67,10,10,0
7.83,7.75,7.58,7.58,7.75,7.75,10,10,0
7.75,7.58,7.67,7.83,7.83,7.67,10,10,0
7.67,7.83,7.67,7.75,7.67,7.83,10,10,0
7.67,7.75,7.58,7.67,7.75,7.83,10,10,1
7.5,7.67,7.58,7.83,7.75,7.75,10,10,1
7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,1
7.92,7.58,7.5,7.83,7.58,7.67,10,10,0
7.83,7.67,7.5,7.75,7.75,7.75,10,10,0
7.67,7.58,7.58,7.83,7.58,7.67,10,10,0
7.67,8,7.67,7.42,7.67,7.5,10,10,1
7.67,7.58,7.5,7.75,7.75,7.75,10,10,1
7.83,7.83,7.58,7.58,7.58,7.58,10,10,0
7.92,7.75,7.5,7.67,7.75,7.5,10,10,0
7.75,7.67,7.5,7.67,7.58,7.83,10,10,0
7.67,7.67,7.67,7.92,7.5,7.67,10,10,0
7.67,7.42,7.42,7.42,8,8.33,10,10,0
7.58,7.67,7.75,7.67,7.67,7.67,10,10,0
7.75,7.67,7.75,7.58,7.42,8,10,10,0
7.83,7.58,7.58,7.5,7.75,7.67,10,10,1
7.83,7.83,7.58,7.33,7.42,7.67,10,10,0
7.75,7.67,7.25,7.25,7.58,8.5,10,10,0
7.5,7.75,7.5,7.75,7.67,7.67,10,10,0
7.83,7.75,7.67,7.58,7.58,7.67,10,10,0
7.67,7.67,7.67,7.67,7.33,7.75,10,10,0
7.75,7.75,7.58,7.83,7.17,7.75,10,10,0
7.67,7.5,7.5,7.33,7.83,8.25,10,10,1
7.75,7.75,7.58,7.58,7.67,7.58,10,10,0
7.67,7.75,7.58,7.67,7.75,7.58,10,10,0
7.75,7.75,7.58,7.58,7.5,7.67,10,10,1
7.67,7.58,7.67,7.67,7.67,7.67,10,10,0
7.67,7.58,7.67,7.58,7.67,7.75,10,10,0
7.75,7.58,7.5,7.58,7.75,7.83,10,10,0
7.67,7.67,7.58,7.67,7.75,7.58,10,10,0
7.83,7.67,7.58,7.58,7.67,7.58,10,10,1
7.67,7.58,7.58,7.58,7.67,7.75,10,10,0
7.75,7.58,7.58,7.75,7.75,7.5,10,10,0
7.75,7.58,7.58,7.5,7.75,7.75,10,10,0
7.58,7.58,7.58,7.58,7.75,7.67,10,10,0
7.67,7.42,7.67,7.83,7.58,7.67,10,10,0
