Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Country.of.Origin
8.17,8.25,8.17,8,7.83,8.17,1
7.75,7.92,7.83,8.08,8.08,8.17,0
8,8,8,8.17,7.83,8,0
8.17,7.92,7.83,8,7.58,7.83,0
7.58,8.08,7.92,7.83,8,7.92,0
8.17,7.83,7.58,8.08,8,7.75,0
7.83,8,7.75,7.75,7.83,7.83,0
8,7.92,7.75,7.92,7.75,7.83,0
7.83,8,7.83,7.75,7.67,7.83,1
7.92,8.17,7.75,8.08,7.42,7.83,1
7.92,7.92,7.67,7.83,7.92,7.83,0
7.92,7.83,7.75,7.83,7.75,8,0
7.75,7.92,7.83,7.75,7.75,8,0
7.75,8,7.75,7.83,7.5,7.92,1
7.75,7.83,7.75,7.83,7.75,7.83,0
7.83,7.58,7.67,7.92,7.92,7.83,1
7.83,7.67,7.58,7.92,7.67,7.83,0
7.92,7.83,7.58,8,7.83,7.67,0
7.67,7.67,7.58,7.75,7.58,8.5,0
7.75,7.75,7.83,7.75,7.58,8,0
7.67,7.83,7.83,8,7.58,7.92,0
7.42,7.67,7.75,7.75,8.08,7.83,0
8.08,7.67,7.83,7.83,7.67,7.67,0
8,7.92,7.42,8.08,7.5,7.67,1
7.92,7.83,7.75,7.75,7.75,7.83,1
7.92,7.83,7.75,7.67,7.92,7.67,0
7.92,7.75,7.67,7.92,7.67,7.75,0
7.75,7.92,7.75,7.67,7.83,7.67,1
7.58,7.75,7.5,7.83,7.67,8.5,0
7.67,7.67,7.75,7.83,7.75,7.83,0
7.75,7.67,8,7.67,8.08,7.83,0
7.75,7.58,7.33,7.83,7.58,8.08,0
8,7.75,7.75,7.83,7.5,7.67,1
7.83,7.58,7.75,7.58,7.67,8,0
7.67,7.67,7.75,7.75,7.67,7.92,0
7.83,7.67,7.75,7.58,7.92,7.75,0
7.83,7.75,7.83,7.58,7.67,7.75,0
7.42,7.67,7.83,7.75,7.92,7.83,0
7.58,7.5,7.75,7.83,7.92,7.83,0
7.83,7.92,7.67,7.83,7.5,7.75,1
7.83,7.83,7.75,7.67,7.83,7.58,1
7.83,7.92,7.67,7.75,7.5,7.75,1
7.83,7.75,7.58,7.67,7.75,7.83,0
8,7.5,7.5,7.67,8,7.83,0
7.67,7.5,7.67,7.42,7.83,8.58,0
7.75,7.75,7.75,7.75,7.83,7.75,0
7.83,7.5,7.42,7.5,7.83,8.5,0
7.92,7.75,7.67,7.75,7.67,7.67,0
7.67,7.75,7.67,7.75,7.67,7.75,1
7.67,7.67,7.83,7.58,7.58,7.83,0
7.67,7.75,7.67,7.67,7.67,7.75,0
7.58,7.42,7.75,7.92,7.75,7.92,0
7.67,7.67,7.5,7.5,7.67,7.67,0
7.67,7.83,7.67,7.75,7.67,7.75,0
7.83,7.83,7.58,7.92,7.42,7.5,1
7.75,7.67,7.5,7.75,7.83,7.75,0
7.75,7.58,7.5,7.83,7.75,7.92,0
7.92,7.67,7.5,7.83,7.58,7.67,0
7.83,7.75,7.58,7.58,7.75,7.75,0
7.75,7.58,7.67,7.83,7.83,7.67,0
7.67,7.83,7.67,7.75,7.67,7.83,0
7.67,7.75,7.58,7.67,7.75,7.83,1
7.5,7.67,7.58,7.83,7.75,7.75,1
7.75,7.92,7.83,7.92,7.75,7.67,1
7.92,7.58,7.5,7.83,7.58,7.67,0
7.83,7.67,7.5,7.75,7.75,7.75,0
7.67,7.58,7.58,7.83,7.58,7.67,0
7.67,8,7.67,7.42,7.67,7.5,1
7.67,7.58,7.5,7.75,7.75,7.75,1
7.83,7.83,7.58,7.58,7.58,7.58,0
7.92,7.75,7.5,7.67,7.75,7.5,0
7.75,7.67,7.5,7.67,7.58,7.83,0
7.67,7.67,7.67,7.92,7.5,7.67,0
7.67,7.42,7.42,7.42,8,8.33,0
7.58,7.67,7.75,7.67,7.67,7.67,0
7.75,7.67,7.75,7.58,7.42,8,0
7.83,7.58,7.58,7.5,7.75,7.67,1
